natural,formal,score
"Let $x$ and $y$ be positive integers. If $x^{2^{n}}-1$ is divisible by $2^{n} y+1$ for every positive integer $n$, prove that $x=1$.","theorem lean_workbook_plus_60302  (x y : ℕ)
  (h₀ : 0 < x ∧ 0 < y)
  (h₁ : ∀ n : ℕ, 2^(n:ℕ) * y + 1 ∣ x^(2^(n:ℕ)) - 1) :
  x = 1 := by sorry",8
"The sequence of real numbers $a_{0}, a_{1}, a_{2}, \ldots$ is defined recursively by

$$
a_{0}=-1, \quad \sum_{k=0}^{n} \frac{a_{n-k}}{k+1}=0 \quad \text { for } \quad n \geq 1 .
$$

Show that $a_{n}>0$ for $n \geq 1$","theorem lean_workbook_plus_1000  (a : ℕ → ℝ)
  (h₀ : a 0 = -1)
  (h₁ : ∀ n, (∑ k in Finset.range (n + 1), (a (n - k) / (k + 1))) = 0) :
  ∀ n ≥ 1, a n > 0 := by sorry",8
"Find all positive integers $n$ such that there exists a sequence of positive integers $a_{1}, a_{2}, \ldots, a_{n}$ satisfying

$$
a_{k+1}=\frac{a_{k}^{2}+1}{a_{k-1}+1}-1
$$

for every $k$ with $2 \leq k \leq n-1$.

The final answer is $n=1,2,3,4$.","theorem lean_workbook_plus_1010  (n : ℕ)
  (a : ℕ → ℕ)
  (h₀ : 0 < n)
  (h₁ : ∀ k, 2 ≤ k ∧ k ≤ n → (a k)^2 + 1 = (a (k - 1) + 1) * (a (k + 1) + 1)) :
  n ≤ 4 := by sorry",8
Let $a$ and $b$ be positive integers such that $a ! b$ ! is a multiple of $a !+b !$. Prove that $3 a \geqslant 2 b+2$.,"theorem lean_workbook_plus_40100  (a b : ℕ)
  (h₀ : 0 < a ∧ 0 < b)
  (h₁ : a ! * b ! ∣ a ! + b !)
  (h₂ : 3 * a ≥ 2 * b + 2) :
  3 * a ≥ 2 * b + 2 := by sorry",7
"Consider all polynomials $P(x)$ with real coefficients that have the following property: for any two real numbers $x$ and $y$ one has

$$
\left|y^{2}-P(x)\right| \leqslant 2|x| \quad \text { if and only if } \quad\left|x^{2}-P(y)\right| \leqslant 2|y| \text {. }
$$

Determine all possible values of $P(0)$.

The final answer is that the set of possible values of $P(0)$ is $(-\infty, 0) \cup\{1\}$.","theorem lean_workbook_plus_1032  (P : ℝ → ℝ)
  (h₀ : ∀ x, P x ≥ 0)
  (h₁ : ∀ x y, (abs (y^2 - P x) ≤ 2 * abs x) ↔ (abs (x^2 - P y) ≤ 2 * abs y))
  (h₂ : P 0 = 0 ∨ P 0 = 1) :
  ∀ x, P x = x^2 + 1 := by sorry",3
"Suppose that a sequence $a_{1}, a_{2}, \ldots$ of positive real numbers satisfies

$$
a_{k+1} \geqslant \frac{k a_{k}}{a_{k}^{2}+(k-1)}
$$

for every positive integer $k$. Prove that $a_{1}+a_{2}+\cdots+a_{n} \geqslant n$ for every $n \geqslant 2$.","theorem lean_workbook_plus_1000  (a : ℕ → ℝ)
  (h₀ : ∀ k, 0 < a (k + 1))
  (h₁ : ∀ k, a (k + 1) ≥ (k * a k) / (a k ^ 2 + (k - 1))) :
  ∀ n ≥ 2, ∑ k in Finset.Icc 1 n, a k ≥ n := by sorry",9
"Prove the inequality

$$
\sum_{i<j} \frac{a_{i} a_{j}}{a_{i}+a_{j}} \leq \frac{n}{2\left(a_{1}+a_{2}+\cdots+a_{n}\right)} \sum_{i<j} a_{i} a_{j}
$$

for positive real numbers $a_{1}, a_{2}, \ldots, a_{n}$.","theorem lean_workbook_plus_10000  (a : ℕ → ℝ)
  (n : ℕ)
  (h₀ : 0 < n)
  (h₁ : ∀ i, 0 < a i) :
  ∑ i < j, (a i * a j) / (a i + a j) ≤
    (n : ℝ) / (2 * (∑ i in Finset.range n, a i)) * ∑ i < j, a i * a j := by sorry",8
"For every positive integer $N$, determine the smallest real number $b_{N}$ such that, for all real $x$,

$$
\sqrt[N]{\frac{x^{2 N}+1}{2}} \leqslant b_{N}(x-1)^{2}+x
$$

The final answer is $b_{n}=N / 2$.","theorem lean_workbook_plus_4100  (N : ℕ)
  (x : ℝ)
  (h₀ : 0 < x)
  (h₁ : 0 < N) :
  (x^(2 * N) + 1) / 2 ≤ (1 + (N:ℝ) / 2 * (x - 1)^2)^N := by sorry",7
"Let $a_{1}, \ldots, a_{r}$ be positive real numbers. For $n>r$, we inductively define

$$
a_{n}=\max _{1 \leq k \leq n-1}\left(a_{k}+a_{n-k}\right) .
$$

Prove that there exist positive integers $\ell \leq r$ and $N$ such that $a_{n}=a_{n-\ell}+a_{\ell}$ for all $n \geq N$.","theorem lean_workbook_plus_1030  (a : ℕ → ℝ)
  (r : ℕ)
  (h₀ : 0 < r)
  (h₁ : ∀ n, n > r → a n = max (a (n - ℓ)) (a ℓ))
  (h₂ : ∀ n, n ≥ r^2 * ℓ + 2 * r → a n = a (n - ℓ) + a ℓ) :
  ∃ ℓ ≤ r, ∃ N, ∀ n, n ≥ N → a n = a (n - ℓ) + a ℓ := by sorry",6
"Find all functions $f:(0, \infty) \rightarrow(0, \infty)$ such that

$$
\frac{f(p)^{2}+f(q)^{2}}{f\left(r^{2}\right)+f\left(s^{2}\right)}=\frac{p^{2}+q^{2}}{r^{2}+s^{2}}
$$

for all $p, q, r, s>0$ with $p q=r s$.

The final answer is 

$$
f(x)=x \quad \text { for all } x>0 \quad \text { or } \quad f(x)=\frac{1}{x} \quad \text { for all } x>0
$$","theorem lean_workbook_plus_1000  (f : ℝ → ℝ)
  (h₀ : ∀ p q r s : ℝ, (p > 0 ∧ q > 0 ∧ r > 0 ∧ s > 0 ∧ p * q = r * s) → (f p ^ 2 + f q ^ 2) / (f r ^ 2 + f s ^ 2) = (p ^ 2 + q ^ 2) / (r ^ 2 + s ^ 2)) :
  ∀ x : ℝ, (x > 0 → f x = x ∨ f x = 1 / x) := by sorry",8
