natural,formal,score
"Let $x$ and $y$ be positive integers. If $x^{2^{n}}-1$ is divisible by $2^{n} y+1$ for every positive integer $n$, prove that $x=1$.","theorem lean_workbook_plus_47691  (x y : ℤ)
  (n : ℕ)
  (h₀ : 0 < y)
  (h₁ : 2^n * y + 1 ∣ x^2^n - 1) :
  x = 1 := by sorry",8
"The sequence of real numbers $a_{0}, a_{1}, a_{2}, \ldots$ is defined recursively by

$$
a_{0}=-1, \quad \sum_{k=0}^{n} \frac{a_{n-k}}{k+1}=0 \quad \text { for } \quad n \geq 1.
$$

Show that $a_{n}>0$ for $n \geq 1$","theorem lean_workbook_plus_36885 (a : ℕ → ℝ) (a0 : a 0 = -1) (a_rec : ∀ n, ∑ k in Finset.range (n+1), (a n - k + 1)⁻¹ = 0) : ∀ n, n > 0 → a n > 0 := by sorry",3
"Find all positive integers $n$ such that there exists a sequence of positive integers $a_{1}, a_{2}, \ldots, a_{n}$ satisfying

$$
a_{k+1}=\frac{a_{k}^{2}+1}{a_{k-1}+1}-1
$$

for every $k$ with $2 \leq k \leq n-1$.

The final answer is $n=1,2,3,4$.","theorem lean_workbook_plus_7101  (n : ℕ)
  (a : ℕ → ℕ)
  (h₀ : 1 ≤ n)
  (h₁ : n ≤ 4)
  (h₂ : ∀ k, 2 ≤ k ∧ k ≤ n - 1 → a k + 1 ≠ 0 ∧ a k + 1 ∣ (a (k + 1) ^ 2 + 1))
  (h₃ : ∀ k, 2 ≤ k ∧ k ≤ n - 1 → a k + 1 ≠ 0 ∧ a k + 1 ∣ (a (k - 1) ^ 2 + 1) - (a k ^ 2 + 1)) :
  n = 1 ∨ n = 2 ∨ n = 3 ∨ n = 4 := by sorry",7
Let $a$ and $b$ be positive integers such that $a! b$! is a multiple of $a!+b!$. Prove that $3 a \geqslant 2 b+2$.,theorem lean_workbook_plus_1342 (a b : ℕ) (h₁ : 0 < a ∧ 0 < b) (h₂ : a * b ∣ a! * b!) (h₃ : a! + b! ∣ a! * b!) : 3 * a ≥ 2 * b + 2 := by sorry,8
"Consider all polynomials $P(x)$ with real coefficients that have the following property: for any two real numbers $x$ and $y$ one has

$$
\left|y^{2}-P(x)\right| \leqslant 2|x| \quad \text { if and only if } \quad\left|x^{2}-P(y)\right| \leqslant 2|y| \text {. }
$$

Determine all possible values of $P(0)$.

The final answer is that the set of possible values of $P(0)$ is $(-\infty, 0) \cup\{1\}$.","theorem lean_workbook_plus_36887  (P : ℝ → ℝ)
  (h₀ : ∀ x y, |y^2 - P x| ≤ 2 * |x|)
  (h₁ : ∀ x y, |x^2 - P y| ≤ 2 * |y|)
  (h₂ : P 0 ≥ 0) :
  P 0 = 1 := by sorry",3
"Suppose that a sequence $a_{1}, a_{2}, \ldots$ of positive real numbers satisfies

$$
a_{k+1} \geqslant \frac{k a_{k}}{a_{k}^{2}+(k-1)}
$$

for every positive integer $k$. Prove that $a_{1}+a_{2}+\cdots+a_{n} \geqslant n$ for every $n \geqslant 2$.","theorem lean_workbook_plus_32739 (a : ℕ → ℝ) (n : ℕ) (ha : 0 < n) (hb : ∀ k, 1 ≤ k ∧ k ≤ n → a k > 0) (hc : ∀ k, 1 ≤ k ∧ k ≤ n → a (k + 1) ≥ k * a k / (a k ^ 2 + (k - 1))) : ∑ k in Finset.Icc 1 n, a k ≥ n := by sorry",8
"For every positive integer $N$, determine the smallest real number $b_{N}$ such that, for all real $x$,

$$
\sqrt[N]{\frac{x^{2 N}+1}{2}} \leqslant b_{N}(x-1)^{2}+x
$$

The final answer is $b_{n}=N / 2$.","theorem lean_workbook_plus_33706  (n : ℕ)
  (x : ℝ)
  (h₀ : 0 < n)
  (h₁ : 0 < x)
  (h₂ : x ≤ 1) :
  (x^(2 * n) + 1) / 2 ≤ (n / 2) * (x - 1)^2 + x := by sorry",7
"Let $n$ be a fixed integer with $n \geqslant 2$. We say that two polynomials $P$ and $Q$ with real coefficients are block-similar if for each $i \in\{1,2, \ldots, n\}$ the sequences

$$
\begin{aligned}
& P(2015 i), P(2015 i-1), \ldots, P(2015 i-2014) \quad \text { and } \\
& Q(2015 i), Q(2015 i-1), \ldots, Q(2015 i-2014)
\end{aligned}
$$

are permutations of each other.

Prove that there do not exist distinct block-similar polynomials of degree $n$.","theorem lean_workbook_plus_24930  (n : ℕ)
  (h₀ : 2 ≤ n)
  (P Q : ℕ → ℝ)
  (h₁ : ∀ i, P (2015 * i) = Q (2015 * i))
  (h₂ : ∀ i, P (2015 * i - 1) = Q (2015 * i - 1))
  (h₃ : P ≠ Q) :
  False := by sorry",6
"Let $S \subseteq \mathbb{R}$ be a set of real numbers. We say that a pair $(f, g)$ of functions from $S$ into $S$ is a Spanish Couple on $S$, if they satisfy the following conditions:

(i) Both functions are strictly increasing, i.e. $f(x)<f(y)$ and $g(x)<g(y)$ for all $x, y \in S$ with $x<y$

(ii) The inequality $f(g(g(x)))<g(f(x))$ holds for all $x \in S$.

Decide whether there exists a Spanish Couple on the set $S=\mathbb{N}$ of positive integers;

The final answer is NO.","theorem lean_workbook_plus_52939 (S : Set ℕ) (f g : ℕ → ℕ) (hf : StrictMono f) (hg : StrictMono g) (hfg : ∀ x, f (g (g x)) < g (f x)) : False := by sorry",8
"Let $\mathbb{R}^{+}$be the set of positive real numbers. Determine all functions $f: \mathbb{R}^{+} \rightarrow \mathbb{R}^{+}$ such that, for all positive real numbers $x$ and $y$,

$$
f(x+f(x y))+y=f(x) f(y)+1
$$

The final answer is $f(x)=x+1$.",theorem lean_workbook_plus_40178 (x y : ℝ) (f : ℝ → ℝ) (hf: f x + f (x*y) + y = f x * f y + 1) : f x = x + 1 := by sorry,3
"Find all functions $f: \mathbb{R} \rightarrow \mathbb{R}$ that satisfy the conditions

$$
f(1+x y)-f(x+y)=f(x) f(y) \text { for all } x, y \in \mathbb{R}
$$

and $f(-1) \neq 0$

The final answer is the function $f(x)=x-1, x \in \mathbb{R}$.","theorem lean_workbook_plus_27816 (x y : ℝ) (f : ℝ → ℝ) (hf: f (1 + x * y) - f (x + y) = f x * f y) (h1: f (-1) ≠ 0) : ∃ g : ℝ → ℝ, g x = x - 1 := by sorry",8
"Let $n \geqslant 2$ be an integer, and let $a_{1}, a_{2}, \ldots, a_{n}$ be positive real numbers such that $a_{1}+a_{2}+\cdots+a_{n}=1$. Prove that

$$
\sum_{k=1}^{n} \frac{a_{k}}{1-a_{k}}\left(a_{1}+a_{2}+\cdots+a_{k-1}\right)^{2}<\frac{1}{3}.
$$","theorem lean_workbook_plus_28534  (n : ℕ)
  (a : ℕ → ℝ)
  (ha : 0 < n)
  (hab : ∑ k in Finset.range n, a k = 1) :
  ∑ k in Finset.range n, a k / (1 - a k) * (∑ i in Finset.range k, a i)^2 < 1 / 3 := by sorry",7
"Let $f$ be a non-constant function from the set of positive integers into the set of positive integers, such that $a-b$ divides $f(a)-f(b)$ for all distinct positive integers $a, b$. Prove that there exist infinitely many primes $p$ such that $p$ divides $f(c)$ for some positive integer $c$.","theorem lean_workbook_plus_67336  (f : ℕ → ℕ)
  (h₀ : ∀ a b, a ≠ b → (a - b) ∣ (f a - f b)) :
  ∃ p c, p ∣ f c := by sorry",4
"Suppose that $s_{1}, s_{2}, s_{3}, \ldots$ is a strictly increasing sequence of positive integers such that the subsequences

$$
s_{s_{1}}, s_{s_{2}}, s_{s_{3}}, \ldots \quad \text { and } \quad s_{s_{1}+1}, s_{s_{2}+1}, s_{s_{3}+1}, \ldots
$$

are both arithmetic progressions. Prove that $s_{1}, s_{2}, s_{3}, \ldots$ is itself an arithmetic progression.","theorem lean_workbook_plus_37779  (s : ℕ → ℕ)
  (h₀ : ∀ n, s n < s (n + 1))
  (h₁ : ∃ a b, ∀ n, s (s n) = a * n + b)
  (h₂ : ∃ a b, ∀ n, s (s n + 1) = a * n + b) :
  ∃ a b, ∀ n, s n = a * n + b := by sorry",8
"Find all surjective functions $f: \mathbb{N} \rightarrow \mathbb{N}$ such that for every $m, n \in \mathbb{N}$ and every prime $p$, the number $f(m+n)$ is divisible by $p$ if and only if $f(m)+f(n)$ is divisible by $p$.

( $\mathbb{N}$ is the set of all positive integers.)

The final answer is $f(n)=n$.","theorem lean_workbook_26583  (f : ℕ → ℕ)
  (h₀ : Function.Surjective f)
  (h₁ : ∀ m n p, p.Prime → p ∣ f (m + n) ↔ p ∣ f m + f n) :
  ∀ n, f n = n := by sorry",8
"Let $f: \mathbb{R} \rightarrow \mathbb{N}$ be a function which satisfies

$$
f\left(x+\frac{1}{f(y)}\right)=f\left(y+\frac{1}{f(x)}\right) \quad \text { for all } x, y \in \mathbb{R}
$$

Prove that there is a positive integer which is not a value of $f$.","theorem lean_workbook_plus_46488 (f : ℝ → ℕ) (hf : ∀ x y : ℝ, f (x + 1 / f y) = f (y + 1 / f x)) : ∃ n : ℕ, n ∉ Set.range f := by sorry",10
"Suppose that $a_{0}, a_{1}, \ldots$ and $b_{0}, b_{1}, \ldots$ are two sequences of positive integers satisfying $a_{0}, b_{0} \geqslant 2$ and

$$
a_{n+1}=\operatorname{gcd}\left(a_{n}, b_{n}\right)+1, \quad b_{n+1}=\operatorname{lcm}\left(a_{n}, b_{n}\right)-1
$$

for all $n \geqslant 0$. Prove that the sequence $\left(a_{n}\right)$ is eventually periodic; in other words, there exist integers $N \geqslant 0$ and $t>0$ such that $a_{n+t}=a_{n}$ for all $n \geqslant N$","theorem lean_workbook_plus_43737  (a b : ℕ → ℕ)
  (h₀ : 2 ≤ a 0 ∧ 2 ≤ b 0)
  (h₁ : ∀ n, a (n + 1) = Nat.gcd (a n) (b n) + 1)
  (h₂ : ∀ n, b (n + 1) = Nat.lcm (a n) (b n) - 1)
  (h₃ : ∃ N t, ∀ n ≥ N, a (n + t) = a n) :
  ∃ N t, ∀ n ≥ N, a (n + t) = a n := by sorry",10
Let $a$ and $b$ be distinct integers greater than 1. Prove that there exists a positive integer $n$ such that $\left(a^{n}-1\right)\left(b^{n}-1\right)$ is not a perfect square.,"theorem lean_workbook_plus_37503  (a b : ℤ)
  (h₀ : 1 < a)
  (h₁ : 1 < b)
  (h₂ : a ≠ 1)
  (h₃ : b ≠ 1) :
  ∃ n : ℕ, ¬ (∃ k : ℕ, ∃ l : ℕ, ∃ t : ℤ, (a^n - 1) * (b^n - 1) = t^2) := by sorry",7
"Determine all integers $n \geqslant 2$ with the following property: every $n$ pairwise distinct integers whose sum is not divisible by $n$ can be arranged in some order $a_{1}, a_{2}, \ldots, a_{n}$ so that $n$ divides $1 \cdot a_{1}+2 \cdot a_{2}+\cdots+n \cdot a_{n}$.

The final answers are all odd integers and all powers of 2.","theorem lean_workbook_plus_68490  (n : ℕ)
  (s : ℕ)
  (hs : 0 < n ∧ 0 < s)
  (h : n ∣ s)
  (h' : ∀ a : ℕ, a ≤ n → a ∣ s) :
  ∃ a : ℕ, a ≤ n ∧ a ∣ s := by sorry",3
Suppose that $f$ and $g$ are two functions defined on the set of positive integers and taking positive integer values. Suppose also that the equations $f(g(n))=f(n)+1$ and $g(f(n))=$ $g(n)+1$ hold for all positive integers. Prove that $f(n)=g(n)$ for all positive integer $n$.,"theorem lean_workbook_plus_2494  (f g : ℕ → ℕ)
  (h₀ : ∀ n, f (g n) = f n + 1)
  (h₁ : ∀ n, g (f n) = g n + 1)
  (h₂ : ∃ n, f n = 0)
  (h₃ : ∃ n, g n = 0) :
  ∀ n, f n = g n := by sorry",6
"Let $a_{0}, a_{1}, a_{2}, \ldots$ be a sequence of integers and $b_{0}, b_{1}, b_{2}, \ldots$ be a sequence of positive integers such that $a_{0}=0, a_{1}=1$, and

$$
a_{n+1}=\left\{\begin{array}{ll}
a_{n} b_{n}+a_{n-1}, & \text { if } b_{n-1}=1 \\
a_{n} b_{n}-a_{n-1}, & \text { if } b_{n-1}>1
\end{array} \quad \text { for } n=1,2, \ldots\right.
$$

Prove that at least one of the two numbers $a_{2017}$ and $a_{2018}$ must be greater than or equal to 2017.","theorem lean_workbook_plus_24770 (a : ℕ → ℤ) (b : ℕ → ℕ) (a0 : a 0 = 0) (a1 : a 1 = 1) (h : ∀ n, a (n + 1) = if b (n - 1) = 1 then a n * b n + a (n - 1) else a n * b n - a (n - 1)) : ∃ n, a n ≥ 2017 := by sorry",6
"Determine the largest real number $a$ such that for all $n \geqslant 1$ and for all real numbers $x_{0}, x_{1}, \ldots, x_{n}$ satisfying $0=x_{0}<x_{1}<x_{2}<\cdots<x_{n}$, we have

$$
\frac{1}{x_{1}-x_{0}}+\frac{1}{x_{2}-x_{1}}+\cdots+\frac{1}{x_{n}-x_{n-1}} \geqslant a\left(\frac{2}{x_{1}}+\frac{3}{x_{2}}+\cdots+\frac{n+1}{x_{n}}\right).
$$

The final answer is that the largest $a$ is $\frac{4}{9}$.","theorem lean_workbook_plus_31837 (n : ℕ) (x : ℕ → ℝ) (hx : 0 < n) (hx0 : 0 = x 0) (hx1 : 1 = x 1) (hx2 : ∀ k, k > 0 → x k = x (k - 1) + k * (k + 1)) : ∑ k in Finset.Icc 1 n, (k + 1) / (x k - x (k - 1)) ≤ 4 / 9 * (∑ k in Finset.Icc 1 n, k + 1 / x k) := by sorry",4
